file-name,row-index,row-values
gdp-usd-2005.csv,718,"HT, 2003, 4229686472"
gdp-usd-2005.csv,724,"IQ, 2003, 31039127982"
gdp-usd-2005.csv,725,"IS, 2003, 14642483262"
gdp-usd-2005.csv,729,"JO, 2003, 10720549509"
gdp-usd-2005.csv,731,"KZ, 2003, 47511520915"
gdp-usd-2005.csv,732,"KE, 2003, 16833601049"
gdp-usd-2005.csv,733,"KG, 2003, 2302414572"
gdp-usd-2005.csv,734,"KH, 2003, 5036018514"
gdp-usd-2005.csv,738,"XK, 2003, 3440271525"
gdp-usd-2005.csv,739,"KW, 2003, 66269900421"
gdp-usd-2005.csv,740,"LA, 2003, 2401350792"
gdp-usd-2005.csv,741,"LB, 2003, 19285138788"
gdp-usd-2005.csv,743,"LY, 2003, 38349038981"
gdp-usd-2005.csv,745,"LI, 2003, 3386928539"
gdp-usd-2005.csv,746,"LK, 2003, 21785695912"
gdp-usd-2005.csv,747,"LS, 2003, 1302464439"
gdp-usd-2005.csv,748,"LT, 2003, 22540470795"
gdp-usd-2005.csv,749,"LU, 2003, 33887728200"
gdp-usd-2005.csv,750,"LV, 2003, 13346108625"
gdp-usd-2005.csv,751,"MO, 2003, 8561385962"
gdp-usd-2005.csv,753,"MA, 2003, 55153800019"
gdp-usd-2005.csv,754,"MC, 2003, 4099186749"
gdp-usd-2005.csv,755,"MD, 2003, 2588237217"
gdp-usd-2005.csv,756,"MG, 2003, 4576936407"
gdp-usd-2005.csv,760,"MK, 2003, 5482471530"
gdp-usd-2005.csv,761,"ML, 2003, 4894286121"
gdp-usd-2005.csv,762,"MT, 2003, 5798495016"
gdp-usd-2005.csv,764,"ME, 2003, 2075038254"
gdp-usd-2005.csv,765,"MN, 2003, 2126729148"
gdp-usd-2005.csv,767,"MZ, 2003, 5565417082"
gdp-usd-2005.csv,768,"MR, 2003, 1675152716"
gdp-usd-2005.csv,769,"MU, 2003, 5869498634"
gdp-usd-2005.csv,770,"MW, 2003, 2554962932"
gdp-usd-2005.csv,772,"NA, 2003, 6308188441"
gdp-usd-2005.csv,774,"NE, 2003, 3255246720"
gdp-usd-2005.csv,775,"NG, 2003, 81137974799"
gdp-usd-2005.csv,776,"NI, 2003, 5757115341"
gdp-usd-2005.csv,779,"NP, 2003, 7505452529"
gdp-usd-2005.csv,781,"OM, 2003, 29939796313"
gdp-usd-2005.csv,782,"PK, 2003, 94724308606"
gdp-usd-2005.csv,783,"PA, 2003, 13417894964"
gdp-usd-2005.csv,784,"PE, 2003, 67198921737"
gdp-usd-2005.csv,785,"PH, 2003, 92191694324"
gdp-usd-2005.csv,787,"PG, 2003, 4606097122"
gdp-usd-2005.csv,789,"PR, 2003, 81996196606"
gdp-usd-2005.csv,792,"PY, 2003, 8218723518"
gdp-usd-2005.csv,794,"QA, 2003, 34748395458"
