value,type,filename,urban,ynm,attended,level,numerical,inadequate,urban.inadequate,rural.inadequate
tubewell/borehole,water,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,0
surface water,water,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,1
public tap/standpipe,water,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,0
protected well,water,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,0
bottled water,water,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,0,0
rainwater collection,water,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,1
unprotected spring,water,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,1
unprotected well,water,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,1
protected spring,water,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,1,0
piped into dwelling,water,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,0,0
piped into yard or plot,water,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,0,0
pit latrine with slab,toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
flush to pit (latrine),toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
NAN,toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
pit latrine without slab/open pit,toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
hanging toilet/hanging latrine,toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
flush to septic tank,toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
no facilities or bush or field,toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
other,toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
bucket,toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
flush to piped sewer system,toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,0,NAN,NAN
missing,toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
flush to somewhere else,toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
flush to unknown place/not sure/dk where,toilets,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,1,NAN,NAN
rural,urban.rural,Bangladesh MICS 2006 SPSS Datasets,0,,,,NAN,NAN,NAN,NAN
dk,school,Bangladesh MICS 2006 SPSS Datasets,,,,NAN,NAN,NAN,NAN,NAN
missing,attended,Bangladesh MICS 2006 SPSS Datasets,,,NAN,,NAN,NAN,NAN,NAN
higher,school,Bangladesh MICS 2006 SPSS Datasets,,,,higher,NAN,NAN,NAN,NAN
missing,water,Bangladesh MICS 2006 SPSS Datasets,,,,,FALSE,NAN,NAN,NAN
