Function,Budget Type,Service,District,Government,Value,Year,Vote,Service Output
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: PRDP-Teacher house construction and rehabilitation
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Secondary Capitation(USE)(LLS)
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,"36,964",2015/16 Proposed Budget,Vote: 501,Output: Education Management Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,"24,186",2015/16 Proposed Budget,Vote: 501,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,"5,000",2015/16 Proposed Budget,Vote: 501,Output: Sports Development services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,,District Government,"862,673",2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,Adjumani District,District Government,"1,665",2015/16 Proposed Budget,Vote: 501,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Non Wage Rec't:,2. Lower Level Services,,District Government,"332,575",2015/16 Proposed Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Other Capital
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Non Wage Rec't:,3. Capital Purchases,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: PRDP-Teacher house construction and rehabilitation
Function: Secondary Education,Non Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Secondary Teaching Services
Function: Secondary Education,Non Wage Rec't:,2. Lower Level Services,Adjumani District,District Government,"417,160",2015/16 Proposed Budget,Vote: 501,Output: Secondary Capitation(USE)(LLS)
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,"75,233",2015/16 Proposed Budget,Vote: 501,Output: Education Management Services
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Sports Development services
Function: Pre-Primary and Primary Education,Wage Rec't:,1. Higher LG Services,,District Government,"4,377,393",2015/16 Proposed Budget,,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Wage Rec't:,2. Lower Level Services,,District Government,0,2015/16 Proposed Budget,,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Other Capital
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Wage Rec't:,3. Capital Purchases,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: PRDP-Teacher house construction and rehabilitation
Function: Secondary Education,Wage Rec't:,1. Higher LG Services,Adjumani District,District Government,"886,759",2015/16 Proposed Budget,Vote: 501,Output: Secondary Teaching Services
Function: Secondary Education,Wage Rec't:,2. Lower Level Services,Adjumani District,District Government,0,2015/16 Proposed Budget,Vote: 501,Output: Secondary Capitation(USE)(LLS)
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Education Management Services
Function: Education & Sports Management and Inspection,Domestic Dev't,1. Higher LG Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Domestic Dev't,2. Lower Level Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Domestic Dev't,1. Higher LG Services,Agago District,District Government,"27,600",2014/15 Approved Budget,Vote: 611,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Domestic Dev't,2. Lower Level Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Agago District,District Government,"118,243",2014/15 Approved Budget,Vote: 611,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Agago District,District Government,"9,809",2014/15 Approved Budget,Vote: 611,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Agago District,District Government,"446,304",2014/15 Approved Budget,Vote: 611,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Agago District,District Government,"20,191",2014/15 Approved Budget,Vote: 611,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Agago District,District Government,"21,200",2014/15 Approved Budget,Vote: 611,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Agago District,District Government,"139,893",2014/15 Approved Budget,Vote: 611,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Domestic Dev't,3. Capital Purchases,Agago District,District Government,"4,282",2014/15 Approved Budget,Vote: 611,Output: Provision of furniture to primary schools
Function: Secondary Education,Domestic Dev't,1. Higher LG Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Secondary Teaching Services
Function: Secondary Education,Domestic Dev't,2. Lower Level Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Domestic Dev't,3. Capital Purchases,Agago District,District Government,"28,250",2014/15 Approved Budget,Vote: 611,Output: Classroom construction and rehabilitation
Function: Skills Development,Domestic Dev't,1. Higher LG Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Agago District,District Government,"80,000",2014/15 Approved Budget,Vote: 611,Output: Education Management Services
Function: Education & Sports Management and Inspection,Donor Dev't,1. Higher LG Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Donor Dev't,2. Lower Level Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Donor Dev't,1. Higher LG Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Primary Teaching Services
Function: Pre-Primary and Primary Education,Donor Dev't,2. Lower Level Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Primary Schools Services UPE (LLS)
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: PRDP-Classroom construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: PRDP-Latrine construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: PRDP-Provision of furniture to primary schools
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: PRDP-Teacher house construction and rehabilitation
Function: Pre-Primary and Primary Education,Donor Dev't,3. Capital Purchases,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Provision of furniture to primary schools
Function: Secondary Education,Donor Dev't,1. Higher LG Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Secondary Teaching Services
Function: Secondary Education,Donor Dev't,2. Lower Level Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Secondary Capitation(USE)(LLS)
Function: Secondary Education,Donor Dev't,3. Capital Purchases,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Classroom construction and rehabilitation
Function: Skills Development,Donor Dev't,1. Higher LG Services,Agago District,District Government,0,2014/15 Approved Budget,Vote: 611,Output: Tertiary Education Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Agago District,District Government,"26,600",2014/15 Approved Budget,Vote: 611,Output: Education Management Services
Function: Education & Sports Management and Inspection,Non Wage Rec't:,1. Higher LG Services,Agago District,District Government,"20,070",2014/15 Approved Budget,Vote: 611,Output: Monitoring and Supervision of Primary & secondary Education
Function: Education & Sports Management and Inspection,Non Wage Rec't:,2. Lower Level Services,Agago District,District Government,"6,972",2014/15 Approved Budget,Vote: 611,Output: Multi sectoral Transfers to Lower Local Governments
Function: Pre-Primary and Primary Education,Non Wage Rec't:,1. Higher LG Services,Agago District,District Government,"651,487",2014/15 Approved Budget,Vote: 611,Output: Primary Teaching Services
